algoritmo,tiempo,memoria
MedicionBuscarLinkedList,21865469900,937264
MedicionBuscarArrayList,11296719100,937274
MedicionBuscarTrie,30209200,0
MedicionBuscarHashMap,3410300,1328896
MedicionBuscarTreeMap,22517600,1328898
algoritmo,tiempo,memoria
MedicionBuscarLinkedList,12577247200,937264
MedicionBuscarArrayList,8178237200,937274
MedicionBuscarTrie,12753600,0
MedicionBuscarHashMap,2214200,1328896
MedicionBuscarTreeMap,17034700,1328898
algoritmo,tiempo,memoria
MedicionBuscarLinkedList,12445729600,937264
MedicionBuscarArrayList,7514900200,937274
MedicionBuscarTrie,12046500,10450671
MedicionBuscarHashMap,2072900,1328896
MedicionBuscarTreeMap,16839500,1328898
algoritmo,tiempo,memoria
MedicionBuscarLinkedList,24887058000,937264
MedicionBuscarArrayList,13521246900,937274
MedicionBuscarTrie,20186000,10450671
MedicionBuscarHashMap,6263200,1328896
MedicionBuscarTreeMap,23922400,1328898
algoritmo,tiempo,memoria
MedicionBuscarLinkedList,22547919500,937264
MedicionBuscarArrayList,11767791800,937274
MedicionBuscarTrie,29106300,10450671
MedicionBuscarHashMap,4929200,1328896
MedicionBuscarTreeMap,21221900,1328898
algoritmo,tiempo,memoria
MedicionBuscarLinkedList,30905997200,937264
MedicionBuscarArrayList,17055382500,937274
MedicionBuscarTrie,21709300,10450671
MedicionBuscarHashMap,3835600,1328896
MedicionBuscarTreeMap,18758000,1328898
algoritmo,tiempo,memoria
MedicionBuscarLinkedList,28443863600,937264
MedicionBuscarArrayList,16230045200,937274
MedicionBuscarTrie,21149000,10450671
MedicionBuscarHashMap,6171300,1328896
MedicionBuscarTreeMap,24800400,1328898
algoritmo,tiempo,memoria
MedicionBuscarLinkedList,25701493200,937264
MedicionBuscarArrayList,14604763200,937274
MedicionBuscarTrie,30093800,10450671
MedicionBuscarHashMap,4064000,1328896
MedicionBuscarTreeMap,22978900,1328898
algoritmo,tiempo,memoria
MedicionBuscarLinkedList,25956540700,937264
MedicionBuscarArrayList,14768590900,937274
MedicionBuscarTrie,25110200,10450671
MedicionBuscarHashMap,4441700,1328896
MedicionBuscarTreeMap,27017500,1328898
algoritmo,tiempo,memoria
MedicionBuscarLinkedList,22621648000,937264
MedicionBuscarArrayList,13840890500,937274
MedicionBuscarTrie,32561600,10450671
MedicionBuscarHashMap,6670100,1328896
MedicionBuscarTreeMap,22161900,1328898
algoritmo,tiempo,memoria
MedicionBuscarLinkedList,32730241800,937264
MedicionBuscarArrayList,18065560700,937274
MedicionBuscarTrie,24359300,10450671
MedicionBuscarHashMap,5647700,1328896
MedicionBuscarTreeMap,25805000,1328898
algoritmo,tiempo,memoria
MedicionBuscarLinkedList,25819443200,937264
MedicionBuscarArrayList,13856186300,937274
MedicionBuscarTrie,32658800,10450671
MedicionBuscarHashMap,3877300,1328896
MedicionBuscarTreeMap,20174500,1328898
algoritmo,tiempo,memoria
MedicionBuscarLinkedList,28871625100,937264
MedicionBuscarArrayList,16729847900,937274
MedicionBuscarTrie,25814400,10450671
MedicionBuscarHashMap,4757800,1328896
MedicionBuscarTreeMap,17120500,1328898
algoritmo,tiempo,memoria
MedicionBuscarLinkedList,32523741700,937264
MedicionBuscarArrayList,16703075400,937274
MedicionBuscarTrie,18795600,10450671
MedicionBuscarHashMap,3605600,1328896
MedicionBuscarTreeMap,18354200,1328898
algoritmo,tiempo,memoria
MedicionBuscarLinkedList,32695520000,937264
MedicionBuscarArrayList,14668247200,937274
MedicionBuscarTrie,18784200,10450671
MedicionBuscarHashMap,4259100,1328896
MedicionBuscarTreeMap,19261500,1328898
algoritmo,tiempo,memoria
MedicionBuscarLinkedList,28529180100,937264
MedicionBuscarArrayList,16292487900,937274
MedicionBuscarTrie,24224400,10450671
MedicionBuscarHashMap,5869900,1328896
MedicionBuscarTreeMap,18379000,1328898
algoritmo,tiempo,memoria
MedicionBuscarLinkedList,13936596200,937264
MedicionBuscarArrayList,7981052400,937274
MedicionBuscarTrie,16682200,10450671
MedicionBuscarHashMap,5205400,1328896
MedicionBuscarTreeMap,10950500,1328898
algoritmo,tiempo,memoria
MedicionPredecirLinkedList,34634522600,937315
MedicionPredecirTrie,988615200,10450671
MedicionPredecirHashMap,28109742000,2223671
